"","year","yearly_anomaly","lowess","zone"
"389",1750,-0.543083333333333,-0.619501724162981,"europe"
"390",1751,-0.97125,-0.613066382264064,"europe"
"391",1752,-0.0315454545454546,-0.606631040365147,"europe"
"392",1753,-0.50525,-0.599851551070182,"europe"
"393",1754,-0.389833333333333,-0.593072061775217,"europe"
"394",1755,-0.621833333333333,-0.585937382103808,"europe"
"395",1756,-0.216833333333333,-0.5788027024324,"europe"
"396",1757,-0.1425,-0.571335691706449,"europe"
"397",1758,-1.5115,-0.563868680980498,"europe"
"398",1759,-0.421,-0.55613416118018,"europe"
"399",1760,-1.0795,-0.548399641379861,"europe"
"400",1761,-0.134583333333333,-0.540468336731715,"europe"
"401",1762,-0.6225,-0.532537032083569,"europe"
"402",1763,-1.06566666666667,-0.524480008438153,"europe"
"403",1764,-0.392666666666667,-0.516422984792738,"europe"
"404",1765,-0.508666666666667,-0.50831420706484,"europe"
"405",1766,-0.35875,-0.500205429336942,"europe"
"406",1767,-0.7845,-0.492124495327404,"europe"
"407",1768,-1.3255,-0.484043561317867,"europe"
"408",1769,-0.755416666666667,-0.476081543618794,"europe"
"409",1770,-0.768333333333333,-0.46811952591972,"europe"
"410",1771,-1.10683333333333,-0.460297829793185,"europe"
"411",1772,-0.0975,-0.45247613366665,"europe"
"412",1773,-0.0205833333333333,-0.444585899568419,"europe"
"413",1774,-0.361416666666667,-0.436695665470189,"europe"
"414",1775,0.45075,-0.427733928603589,"europe"
"415",1776,-0.6165,-0.41877219173699,"europe"
"416",1777,-0.74975,-0.403710438036682,"europe"
"417",1778,-0.0911666666666667,-0.388648684336374,"europe"
"418",1779,0.638166666666667,-0.372328453030379,"europe"
"419",1780,-0.3095,-0.356008221724383,"europe"
"420",1781,0.205916666666667,-0.339863684212276,"europe"
"421",1782,-0.880083333333333,-0.32371914670017,"europe"
"422",1783,-0.05025,-0.309242960227547,"europe"
"423",1784,-1.08075,-0.294766773754924,"europe"
"424",1785,-1.24483333333333,-0.283509027965406,"europe"
"425",1786,-1.014,-0.272251282175889,"europe"
