"","sts_copr_a_PROD_F_CA_I10_EU28","sts_copr_a_PROD_F_CC1_CA_I10_EU28","sts_copr_a_PROD_F_CC2_CA_I10_EU28","sts_inpr_a_PROD_MIG_ING_CA_I10_EU28","sts_inpr_a_PROD_MIG_CAG_CA_I10_EU28","sts_inpr_a_PROD_MIG_COG_CA_I10_EU28","sts_inpr_a_PROD_C_CA_I10_EU28","sts_inpr_a_PROD_C10_CA_I10_EU28","sts_inpr_a_PROD_B_CA_I10_EU28","sts_inpr_a_PROD_D_CA_I10_EU28","env_wasmun_DSP_I_KG_HAB_EU28","env_wasmun_DSP_I_RCV_E_KG_HAB_EU28","env_wasmun_DSP_L_OTH_KG_HAB_EU28","env_wasmun_GEN_KG_HAB_EU28","env_wasmun_RCV_E_KG_HAB_EU28","env_wasmun_RCY_C_D_KG_HAB_EU28","env_wasmun_RCY_M_KG_HAB_EU28","env_wasmun_TRT_KG_HAB_EU28","sdg_13_10_GHG_TOTX4_MEMONIA_I90_EU28","sdg_13_10_GHG_TOTX4_MEMONIA_T_HAB_EU28","sdg_13_10_GHG_TOTXMEMONIA_I90_EU28","sdg_13_10_GHG_TOTXMEMONIA_T_HAB_EU28","sdg_13_20_I00_EU28","sdg_12_30_C02KM_EU28","tai08_CH4_PC_CRF3_EU28","tai08_CH4_CO2E_PC_CRF3_EU28","tai08_CO2_PC_CRF3_EU28","tai08_GHG_PC_CRF3_EU28","tai08_N2O_PC_CRF3_EU28","tai08_N2O_CO2E_PC_CRF3_EU28","tran_hv_frtra_I10_EU28","tran_hv_psmod_PC_BUS_TOT_EU28","tran_hv_psmod_PC_CAR_EU28","tran_hv_psmod_PC_TRN_EU28","tran_hv_psmod_PC_TRN_BUS_TOT_AVD_EU28","tran_hv_pstra_I10_EU28","ttr00005_TOT_LOADED_MIO_TKM_EU28","ttr00005_TOT_LOADED_THS_T_EU28","ttr00009_TOTAL_THS_T_EU28","ttr00011_T_FRM_LD_NLD_TOT_TOTAL_EU28","ttr00012_PAS_PAS_CRD_TOTAL_TOT_EU28","sdg_07_10_I05_EU28","sdg_07_10_MTOE_EU28","sdg_07_10_TOE_HAB_EU28","t2020_rk200_TOTAL_KTOE_FC_OTH_HH_E_EU28","ten00123_FC_E_C0000X0350-0370_KTOE_EU28","ten00123_FC_E_C0350-0370_KTOE_EU28","ten00123_FC_E_E7000_KTOE_EU28","ten00123_FC_E_G3000_KTOE_EU28","ten00123_FC_E_H8000_KTOE_EU28","ten00123_FC_E_O4000XBIO_KTOE_EU28","ten00123_FC_E_P1000_KTOE_EU28","ten00123_FC_E_RA000_KTOE_EU28","ten00123_FC_E_S2000_KTOE_EU28","ten00123_FC_E_TOTAL_KTOE_EU28","ten00123_FC_E_W6100_6220_KTOE_EU28"
"1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1986",NA,NA,NA,NA,NA,NA,NA,NA,133.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1987",NA,NA,NA,NA,NA,NA,NA,NA,132.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1988",NA,NA,NA,NA,NA,NA,NA,NA,125.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989",NA,NA,NA,NA,NA,NA,NA,NA,115.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
